order_id,note_date,investigated_by,root_cause,resolution_status
ebd33d4995d183ba4c6ed1e273816aa7,2018-09-03,Mario,Seller shipped late (missed shipping_limit_date),resolved
a0d699e2e7598ef4a849c8089f3c1277,2018-01-04,Edward,Weather-related transit delay,escalated_to_seller
a7da4c5d1aa10f5bd43694601bea7057,2017-12-04,Debra,No root cause identified - isolated incident,escalated_to_seller
a4ca2ef2db84bd36005b60249c9600d7,2018-07-21,Charles,Customs/regional holiday delay,resolved
180c9fcf056bcb72bbf79029ddfa0132,2018-05-13,Amanda,Warehouse stock discrepancy at seller,resolved
9696c06c5b4dacf79ad4fc897b1aa93b,2018-08-21,Michael,Warehouse stock discrepancy at seller,resolved
12e5cfe0e4716b59afb0e0f4a3bd6570,2018-04-06,Brian,Address/zip code issue caused redelivery,resolved
b024fdd2d489610af375a0ae22124264,2018-04-17,William,Warehouse stock discrepancy at seller,resolved
dc17a6461db14f3625728b10493ef332,2018-07-20,Benjamin,Customs/regional holiday delay,resolved
a300439b291baea25827908be1277e29,2018-03-27,Ryan,Address/zip code issue caused redelivery,resolved
f96b5c312ad850920b6aed06ee8881ad,2017-12-24,Chad,Weather-related transit delay,escalated_to_seller
837b75362f8a7c08c85182dfd16cb72d,2018-08-20,Christopher,Weather-related transit delay,unresolved
974fd219891927f0d01b357f4400a622,2018-03-29,Roger,Customs/regional holiday delay,escalated_to_seller
f67026e78b00cb23af0f2ccdb5ee8245,2018-06-08,Margaret,No root cause identified - isolated incident,resolved
316cbf18dca6cfe813ed375d15be4ffe,2017-05-15,David,Seller shipped late (missed shipping_limit_date),resolved
22a0afb00de21962e96bef9ec5b51223,2018-08-14,Jeffrey,Customs/regional holiday delay,resolved
af3c537a8ea64ed0f5877a4ecce0c794,2018-03-06,Courtney,Customs/regional holiday delay,resolved
52550cee1dda83b2c06260891897dc60,2018-08-27,Stacie,Customs/regional holiday delay,resolved
4f2a29346d25613d2e553a8d6381b006,2018-04-01,Barbara,Seller shipped late (missed shipping_limit_date),resolved
6e269660f01d35b9a19cc6221711347d,2017-06-12,Randy,Warehouse stock discrepancy at seller,resolved
947e9c6bfd83a06953c420ef92d3da6e,2018-08-24,Theresa,Weather-related transit delay,unresolved
81b7c7bbc8ec003eeb67d87441a6a148,2018-09-02,Brandon,Address/zip code issue caused redelivery,resolved
66bd5293331e02863f2054bf659ed2be,2018-04-01,Michele,No root cause identified - isolated incident,unresolved
13d6f87da8ba3d0feb95e58ab304a9dd,2018-06-03,Keith,Carrier delay - regional logistics disruption,resolved
28136596c0ceb5c43000c1776348b72b,2018-03-25,Drew,Customs/regional holiday delay,escalated_to_seller
7c94a691cda1b50778849a3e52d45dfc,2017-12-14,David,Carrier delay - regional logistics disruption,resolved
64439b9234594e291aa9a30c226f257e,2018-07-14,Kyle,Customs/regional holiday delay,escalated_to_seller
47a59571eaf621fe16f74c18e25fa329,2018-03-11,Lisa,Address/zip code issue caused redelivery,resolved
8b4fc455b9a8cc1559dca8dd2d392ddd,2018-01-30,Henry,Address/zip code issue caused redelivery,escalated_to_seller
14e02ed9bb6ea11904967b279f41df37,2018-01-22,Bonnie,Carrier delay - regional logistics disruption,resolved
6d634ac1e01a120c22e27efcba0a97dd,2018-05-21,Danielle,Address/zip code issue caused redelivery,resolved
094fe0ffb99d42aba8ca2a6b65a8921e,2018-04-03,Nathan,Carrier delay - regional logistics disruption,resolved
bf294e9fc4071077ff5ffbeb803602fd,2018-08-15,Amy,Weather-related transit delay,resolved
b1f1b53eff2bcb85d584f05835dd8115,2018-08-21,Bryan,Address/zip code issue caused redelivery,resolved
05b7ab671d6b51e0b44ea73a54d9f739,2018-02-07,Brian,Customs/regional holiday delay,unresolved
84c1ef4f5624b36f93862b353cd6fef0,2017-11-17,Jamie,Address/zip code issue caused redelivery,escalated_to_seller
b11e6ce66d797ee9120c9bfbd376ef01,2018-05-05,Erin,No root cause identified - isolated incident,resolved
07528311766b5aa54d193747c66663df,2018-03-12,Ronald,Carrier delay - regional logistics disruption,resolved
